('600581', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('601965', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('000799', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('002062', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('300668', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('600581', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('000591', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('300668', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('601965', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('002062', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('600580', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('601966', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('300668', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('000591', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('002062', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('600580', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('601967', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('300668', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('000591', 3, <type 'exceptions.Exception'>, ':', HTTPError())
